id,name,club,countryName
-389,Preuben 06 Munste,Preuben 06 Munste,Germany
-387,Niederauerbach,Niederauerbach,Germany
-386,Neumunster 1910,Neumunster 1910,Germany
-383,FC Oberneuland,FC Oberneuland,Germany
-380,Berlin Ankaraspor Kulubu 07,Berlin Ankaraspor Kulubu 07,Germany
960,SV Werder Bremen,Werder Bremen,Germany
961,FC Bayern München,Bayern München,Germany
962,VfB Stuttgart 1893,Stuttgart,Germany
963,TSV Bayer 04 Leverkusen,Bayer Leverkusen,Germany
964,BV Borussia 09 Dortmund,Borussia Dortmund,Germany
965,VfL Bochum 1848,Bochum,Germany
966,FC Schalke 04,Schalke 04,Germany
967,Hamburger SV,Hamburger SV,Germany
968,VfL Wolfsburg,Wolfsburg,Germany
969,FC Hansa Rostock,Hansa Rostock,Germany
970,SC Freiburg,Freiburg,Germany
971,Borussia VfL Mönchengladbach,Borussia M'gladbach,Germany
972,Hannover 96,Hannover 96,Germany
973,1. FC Kaiserslautern,Kaiserslautern,Germany
974,Hertha BSC,Hertha BSC,Germany
975,1. FC Nürnberg,Nürnberg,Germany
976,DSC Arminia Bielefeld,Arminia Bielefeld,Germany
977,1. FSV Mainz 05,Mainz 05,Germany
978,TSV 1860 München,1860 München,Germany
979,Eintracht Frankfurt,Eintracht Frankfurt,Germany
980,1. FC Köln,Köln,Germany
981,FC Energie Cottbus,Energie Cottbus,Germany
982,TSV Alemannia Aachen,Alemannia Aachen,Germany
983,SC Rot-Weiß Oberhausen 1904,Rot-Weiß Oberhausen,Germany
984,MSV Duisburg,MSV Duisburg,Germany
985,FC Erzgebirge Aue,Erzgebirge Aue,Germany
986,SpVgg Greuther Fürth,Greuther Fürth,Germany
987,SV Eintracht Trier 05,Eintracht Trier,Germany
988,SpVgg Unterhaching,Unterhaching,Germany
989,Karlsruher SC,Karlsruher SC,Germany
990,SV Wacker Burghausen,Wacker Burghausen,Germany
991,Rot Weiss Ahlen,Rot Weiss Ahlen,Germany
992,FC Rot-Weiß Erfurt,Rot-Weiß Erfurt,Germany
993,1. FC Saarbrücken,Saarbrücken,Germany
994,Rot-Weiss Essen,Rot-Weiss Essen,Germany
995,SG Dynamo Dresden,Dynamo Dresden,Germany
997,SV Wehen Wiesbaden,Wehen Wiesbaden,Germany
998,SSV Jahn 2000 Regensburg,Jahn Regensburg,Germany
1000,FC Augsburg,Augsburg,Germany
1001,TSG 1899 Hoffenheim,Hoffenheim,Germany
1002,VfR Aalen 1921,Aalen,Germany
1003,SV Stuttgarter Kickers,Stuttgarter Kickers,Germany
1004,SC Pfullendorf 1919,Pfullendorf,Germany
1006,1. SC Feucht,SC Feucht,Germany
1008,Offenbacher FC Kickers 1901,Kickers Offenbach,Germany
1009,SV 07 Elversberg,Elversberg,Germany
1010,Sportfreunde Siegen von 1899,Sportfreunde Siegen,Germany
1011,Wuppertaler SV,Wuppertaler SV,Germany
1013,SC Paderborn 07,Paderborn,Germany
1014,KFC Uerdingen 05,Uerdingen,Germany
1015,Braunschweiger TSV Eintracht 1895,Eintracht Braunschweig,Germany
1016,Chemnitzer FC,Chemnitzer FC,Germany
1018,FC St. Pauli von 1910,St. Pauli,Germany
1019,Kieler SV Holstein 1900,Holstein Kiel,Germany
1022,Arminia Bielefeld Amatuere,Bielefeld-A,Germany
1024,SC Preußen 06 Münster,Preußen Münster,Germany
1025,VfB Lübeck,Lübeck,Germany
1026,1. FC Union Berlin,Union Berlin,Germany
1027,VfL Osnabrück,Osnabrück,Germany
1029,Düsseldorfer TuS Fortuna 1895,Fortuna Düsseldorf,Germany
1030,1. FC Schweinfurt 1905,Schweinfurt,Germany
1031,1. FC Eschborn 1930,Eschborn,Germany
1033,VfB Leipzig,VfB Leipzig,Germany
1034,VfR Neumünster von 1910,VfR Neumünster,Germany
1036,SG Wattenscheid 09,Wattenscheid 09,Germany
1037,Germany,Germany,Germany
2338,SSV Ulm 1846,Ulm,Germany
2363,FSV Frankfurt,FSV Frankfurt,Germany
2364,SV Waldhof Mannheim 07,Waldhof Mannheim,Germany
2365,SSV Reutlingen 05,Reutlingen,Germany
2366,SV Babelsberg 03,Babelsberg,Germany
2367,SC Fortuna Köln,Fortuna Köln,Germany
2368,Tennis Borussia Berlin,Tennis Borussia,Germany
2370,FSV Zwickau,Zwickau,Germany
2371,SV Meppen 1912,Meppen,Germany
2372,FC Carl Zeiss Jena,Carl Zeiss Jena,Germany
2373,VfB Oldenburg 1897,VfB Oldenburg,Germany
2374,FC 08 Homburg Saar,Homburg,Germany
2549,SV Darmstadt 1898,Darmstadt 98,Germany
2551,VfB Borussia Neunkirchen,Borussia Neunkirchen,Germany
2552,SpVgg Ansbach 09,Ansbach,Germany
2553,SC Borussia 04 Fulda,Borussia Fulda,Germany
2816,Lüneburger SK,Lüneburg,Germany
2817,SV Wilhelmshaven,Wilhelmshaven,Germany
2818,1. FC Magdeburg,Magdeburg,Germany
2819,SC Verl 1924,Verl,Germany
2821,Dresdner SC,Dresdner SC,Germany
2923,FC Nöttingen 1957,Nöttingen,Germany
2924,TuS Koblenz 1911,Koblenz,Germany
4110,Germany,Germany,Germany
4279,Germany Under 20,Germany U20,Germany
4362,Germany Under 21,Germany U21,Germany
4416,1. FFC Frankfurt,FFC Frankfurt,Germany
4417,FC Bayern München,Bayern München,Germany
4418,MSV Duisburg,Duisburg,Germany
4419,FFC Heike Rheine,Heike Rheine,Germany
4420,1. FFC Turbine Potsdam,Turbine Potsdam,Germany
4421,FSV Frankfurt,FSV Frankfurt,Germany
4422,Hamburger SV,Hamburger SV,Germany
4423,SC 07 Bad Neuenahr,SC 07 Bad Neuenahr,Germany
4424,SC Freiburg,Freiburg,Germany
4425,SGS Essen 19/68,SGS Essen,Germany
4426,TSV 1846 Crailsheim,Crailsheim,Germany
4427,VfL Wolfsburg,Wolfsburg,Germany
4572,BSV Kickers Emden,Kickers Emden,Germany
4573,Karlsruher SC Amateure,Karlsruhe-A,Germany
4574,SpVgg Bayreuth,Bayreuth,Germany
5176,VfL Sindelfingen,Sindelfingen,Germany
5177,FFC Brauweiler Pulheim 2000,FFC Brauweiler Pulheim 2000,Germany
5178,SuS Timmel,SuS Timmel,Germany
5179,KSV Holstein von 1900,Holstein Kiel,Germany
