"id","name","countryName"
920,"Premier League","Sierra Leone"
137,"S.League","Singapore"
1317,"Reserve Prime League","Singapore"
-360,"Play-offs 1/2","Slovakia"
-82,"U-19 Super Liga","Slovakia"
123,"Super Liga","Slovakia"
124,"2. liga","Slovakia"
644,"3. liga","Slovakia"
1220,"U19 League","Slovakia"
-235,"1. SKL U17","Slovenia"
-234,"1. SML U19","Slovenia"
86,"1. SNL","Slovenia"
299,"2. SNL","Slovenia"
630,"3. SNL","Slovenia"
892,"S-League","Solomon Islands"
1177,"First Division","Somalia"
-208,"MultiChoice Diski Challenge","South Africa"
-200,"Varsity Football","South Africa"
214,"PSL","South Africa"
526,"1st Division","South Africa"
-243,"Trofeo Ramon de Carranza 2015","Spain"
-155,"Copa de Campeones de Honor Juvenil","Spain"
7,"Primera División","Spain"
12,"Segunda División","Spain"
98,"Segunda B","Spain"
569,"Tercera Division","Spain"
1258,"División de Honor Juvenil","Spain"
901,"Champions League","Sri Lanka"
528,"Premier Division","St. Kitts and Nevis"
601,"Sudani Premier League","Sudan"
469,"Eerste Divisie","Suriname"
605,"Tweede Divisie","Suriname"
213,"Premier League","Eswatini"
-349,"U17 League","Sweden"
28,"Allsvenskan","Sweden"
37,"Superettan","Sweden"
427,"Division 1","Sweden"
502,"Division 2","Sweden"
1016,"U19 League","Sweden"
1064,"U21 League","Sweden"
27,"Super League","Switzerland"
99,"Challenge League","Switzerland"
554,"1. Liga Classic","Switzerland"
648,"2. Liga Interregional","Switzerland"
1043,"1. Liga Promotion","Switzerland"
1096,"U18 League","Switzerland"
212,"Premier League","Syria"
936,"Campeonato Nacional","São Tomé e Príncipe"
767,"Ligue 1","Tahiti"
796,"Vysshaya Liga","Tajikistan"
857,"Ligi kuu Bara","Tanzania"
-100,"Thailand League Cup","Thailand"
-70,"King's cup","Thailand"
519,"Thai League","Thailand"
782,"Thai League 2","Thailand"
1307,"Thai League 4","Thailand"
1520,"Thai League 3","Thailand"
712,"Championnat National","Togo"
465,"T & T Pro League","Trinidad and Tobago"
210,"Ligue 1","Tunisia"
649,"Ligue 2","Tunisia"
-319,"U14 Elit Ligi","Turkey"
-256,"U19 Elit Ligi 1. Lig","Turkey"
-255,"U21 1. Lig","Turkey"
-254,"Coca-Cola U17 Regional Development League","Turkey"
-186,"U15 Elit Ligi","Turkey"
-170,"U16 Elit Ligi","Turkey"
-169,"U17 Süper Lig ","Turkey"
-99,"Izmir Cup","Turkey"
19,"Süper Lig","Turkey"
97,"1. Lig","Turkey"
562,"2. Lig","Turkey"
654,"3. Lig","Turkey"
990,"A2 Ligi (Reserve)","Turkey"
995,"Akademi Ligleri","Turkey"
