wyElementId;wyElementName;wyElementClub;bestId;bestName;bestLevenshteinDist;
-4257;Fortuna Düsseldorf Under 17;Fortuna Düsseldorf U17;23005;Fortuna Düsseldorf U17;0;
-4256;VfL Bochum U17;VfL Bochum U17;21085;VfL Bochum U17;0;
-4255;DSC Arminia Bielefeld U17;DSC Arminia Bielefeld U17;21053;Arminia Bielefeld U17;4;
-4254;Bayer 04 Leverkusen U17;Bayer 04 Leverkusen U17;21054;Bayer 04 Leverkusen U17;0;
-4253;1. FC Köln U17;1. FC Köln U17;21048;1.FC Köln U17;1;
-4252;BV Borussia Dortmund 09 Under 17;BV Borussia Dortmund 09 U17;21055;Borussia Dortmund U17;6;
-4251;Wandsbeker TSV Concordia U17;Wandsbeker TSV Concordia U17;33174;Wittenauer SC Concordia II;12;
-4250;SV Werder Bremen U17;SV Werder Bremen U17;21079;SV Werder Bremen U17;0;
-4249;FC St. Pauli U17;FC St. Pauli U17;21062;FC St. Pauli U17;0;
-4248;Eintracht Braunschweig U17;Eintracht Braunschweig U17;22725;Eintracht Braunschweig U17;0;
-4247;Hertha BSC Berlin U17;Hertha BSC Berlin U17;21066;Hertha BSC U17;7;
-4246;Hannover 96 U17;Hannover 96 U17;21064;Hannover 96 U17;0;
-4245;RB Leipzig U17;RB Leipzig U17;23826;RB Leipzig;4;
-4244;FC Carl Zeiss Jena U17;FC Carl Zeiss Jena U17;23928;FC Carl Zeiss Jena U17;0;
-4243;Tennis Borussia Berlin U17;Tennis Borussia Berlin U17;21080;Tennis Borussia Berlin U17;0;
-4242;1. FC Magdeburg U17;1. FC Magdeburg U17;28440;1.FC Magdeburg U17;1;
-4241;FC Energie Cottbus U17;FC Energie Cottbus U17;21059;FC Energie Cottbus U17;0;
-4240;Hamburger SV U17;Hamburger SV U17;21063;Hamburger SV U17;0;
-4239;Holstein Kiel U17;Holstein Kiel U17;21067;Holstein Kiel U17;0;
-4215;VfL Wolfsburg U17;VfL Wolfsburg U17;21087;VfL Wolfsburg U17;0;
-4147;Württemberg Amateur;Württemberg Amateur;18836;Wartenberger SV;11;
-4145;Herforder SV Women;Herforder SV Women;8479;Heider SV II;9;
-2676;Hamburger SV U23;Hamburger U23;2509;Hamburger SV U19;2;
-2624;Eintracht Frankfurt U16;Eintracht Frankfurt U16;5372;Eintracht Frankfurt U19;1;
-2198;Hertha BSC Berlin U14;Hertha BSC Berlin U14;69413;Hertha BSC UEFA U19;7;
-2173;Borussia Dortmund U15;Borussia Dortmund U15;1464;Borussia Dortmund U19;1;
-2146;Paulaner Traumelf;Paulaner Traumelf;4124;Preußen Krefeld;11;
-1913;FC Bayern München U17;FC Bayern München U17;23112;FC Bayern München U16;1;
-1480;Wehen U19;Wehen U19;5710;Germany U19;5;
-1479;SC Freiburg U17;SC Freiburg U17;21075;SC Freiburg U17;0;
-402;TuS 1906 Heeslingen;TuS 1906 Heeslingen;1330;TuS 1904 Hohenecken;8;
-401;TSV Germania Windeck;TSV Germania Windeck;4258;TSV Germania Windeck;0;
-400;SV Wilhelmshaven;SV Wilhelmshaven;96;SV Wilhelmshaven;0;
-397;Schwarz-Weiss Essen;Schwarz-Weiss Essen;463;Schwarz-Weiß Essen;2;
-396;FC Schalke 04 U17;FC Schalke 04 U17;21061;FC Schalke 04 U17;0;
-395;SC Victoria Hamburg;SC Victoria Hamburg;431;SC Victoria Hamburg;0;
-393;SC Pfullendorf;SC Pfullendorf;112;SC Pfullendorf;0;
-391;Rot-Weiss Ahlen;Rot-Weiss Ahlen;50;Rot Weiss Ahlen;1;
-389;Preuben 06 Munste;Preuben 06 Munste;91;Preußen Münster;6;
-387;Niederauerbach;Niederauerbach;1818;FC Feuerbach;6;
-386;Neumunster 1910;Neumunster 1910;19265;Deinster SV;8;
-383;FC Oberneuland;FC Oberneuland;115;FC Oberneuland;0;
-380;Berlin Ankaraspor Kulubu 07;Berlin Ankaraspor Kulubu 07;18826;Berlin Türkspor 04;13;
960;SV Werder Bremen;Werder Bremen;86;SV Werder Bremen;0;
961;FC Bayern München;Bayern München;35238;FC Stern München;3;
962;VfB Stuttgart 1893;Stuttgart;2517;VfB Stuttgart U19;3;
963;TSV Bayer 04 Leverkusen;Bayer Leverkusen;15;Bayer 04 Leverkusen;3;
964;BV Borussia 09 Dortmund;Borussia Dortmund;16;Borussia Dortmund;0;
965;VfL Bochum 1848;Bochum;80;VfL Bochum;4;
966;FC Schalke 04;Schalke 04;33;FC Schalke 04;0;
967;Hamburger SV;Hamburger SV;41;Hamburger SV;0;
968;VfL Wolfsburg;Wolfsburg;82;VfL Wolfsburg;0;
969;FC Hansa Rostock;Hansa Rostock;30;FC Hansa Rostock;0;
970;SC Freiburg;Freiburg;60;SC Freiburg;0;
971;Borussia VfL Mönchengladbach;Borussia M'gladbach;18;Borussia Mönchengladbach;4;
972;Hannover 96;Hannover 96;42;Hannover 96;0;
973;1. FC Kaiserslautern;Kaiserslautern;2;1.FC Kaiserslautern;1;
974;Hertha BSC;Hertha BSC;44;Hertha BSC;0;
975;1. FC Nürnberg;Nürnberg;4;1.FC Nuremberg;4;
976;DSC Arminia Bielefeld;Arminia Bielefeld;10;Arminia Bielefeld;0;
977;1. FSV Mainz 05;Mainz 05;39;1.FSV Mainz 05;1;
978;TSV 1860 München;1860 München;73;TSV 1860 München II;3;
979;Eintracht Frankfurt;Eintracht Frankfurt;24;Eintracht Frankfurt;0;
980;1. FC Köln;Köln;3;1. FC Köln;0;
981;FC Energie Cottbus;Energie Cottbus;25;FC Energie Cottbus;0;
982;TSV Alemannia Aachen;Alemannia Aachen;8;Alemannia Aachen;0;
983;SC Rot-Weiß Oberhausen 1904;Rot-Weiß Oberhausen;57;Rot-Weiß Oberhausen;0;
984;MSV Duisburg;MSV Duisburg;52;MSV Duisburg;0;
985;FC Erzgebirge Aue;Erzgebirge Aue;94;FC Erzgebirge Aue;0;
986;SpVgg Greuther Fürth;Greuther Fürth;65;SpVgg Greuther Fürth;0;
987;SV Eintracht Trier 05;Eintracht Trier;104;SV Eintracht Trier 05;0;
988;SpVgg Unterhaching;Unterhaching;66;SpVgg Unterhaching;0;
989;Karlsruher SC;Karlsruher SC;48;Karlsruher SC;0;
990;SV Wacker Burghausen;Wacker Burghausen;110;SV Wacker Burghausen;0;
991;Rot Weiss Ahlen;Rot Weiss Ahlen;50;Rot Weiss Ahlen;0;
