wyElementId;wyElementName;wyElementClub;bestId;bestName;bestLevenshteinDist;
5836;FC Eintracht Rheine;Eintracht Rheine;1137;FC Eintracht Rheine;0;
5837;FC Emmendingen 03;FC Emmendingen 03;1720;FC Emmendingen;3;
5838;FC Energie Cottbus II;Energie Cottbus II;25;FC Energie Cottbus;3;
5839;FC Gütersloh 2000;Gütersloh;220;FC Gütersloh;3;
5840;FC Ismaning;Ismaning;1216;FC Ismaning;0;
5841;FC Junkersdorf;Junkersdorf;41663;FC Wallersdorf;4;
5842;FC Kempten;FC Kempten;3514;FC Kempten;0;
5843;FC Memmingen 07;Memmingen;8166;FC Memmingen II;2;
5844;FC Oberlausitz Neugersdorf;Oberlausitz Neugersdorf;1401;FC Oberlausitz Neugersdorf;0;
5845;FC Schalke 04 II;Schalke 04 II;34;FC Schalke 04 II;0;
5846;FC St. Pauli von 1910 II;St. Pauli II;225;FC St. Pauli II;3;
5847;FC Wegberg-Beeck 1920;Wegberg-Beeck;2681;FC Wegberg-Beeck;3;
5848;FK Pirmasens;Pirmasens;726;FK Pirmasens;0;
5849;FSV Ludwigshafen-Oggersheim 1913;FSV Oggersheim;11851;TSV Dagersheim;3;
5850;FSV 1926 Fernwald;Fernwald;2266;FSV Fernwald;4;
5851;FV Bad Vilbel;Bad Vilbel;1331;FV Bad Vilbel;0;
5852;SC Borea Dresden;Borea Dresden;880;SC Borea Dresden;0;
5853;FV Engers 07;FV Engers 07;2085;FV Engers 07;0;
5854;FV Lauda;Lauda;955;FV Lauda;0;
5855;FV Preußen Eberswalde;Preußen Eberswalde;1280;Preussen Eberswalde;2;
5856;VfB Germania Halberstadt;Germania Halberstadt;364;Germania Halberstadt;0;
5857;1. FC Germania 08 Ober-Roden;Germania Ober-Roden;1431;Germania Ober-Roden;0;
5858;GFC Düren;GFC Duren;846;GFC Düren;0;
5859;Hallescher FC;Hallescher FC;440;Hallescher FC;0;
5860;Hannover 96 II;Hannover 96 II;1065;Hannover 96 II;0;
5861;BFV Hassia Bingen;Hassia Bingen;994;Hassia Bingen;0;
5862;1. FC Heidenheim 1846;Heidenheim;2036;1.FC Heidenheim 1846;1;
5863;KSV Hessen Kassel;Hessen Kassel;373;KSV Hessen Kassel;0;
5864;Kieler SV Holstein 1900 II;Holstein Kiel II;1171;Holstein Kiel II;0;
5865;SSV Jahn 2000 Regensburg II;Jahn Regensburg II;2552;SSV Jahn Regensburg II;4;
5866;KSV Baunatal;Baunatal;1315;KSV Baunatal;0;
5867;KSV Klein-Karben;Klein-Karben;7663;TSV Klein-Linden;5;
5868;Rot Weiß Ahlen II;Rot Weiß Ahlen II;137;Rot Weiss Ahlen II;2;
5869;Ludwigsfelder FC;Ludwigsfelder FC;1319;Ludwigsfelder FC;0;
5870;Meiendorfer SV;Meiendorfer SV;1009;Meiendorfer SV;0;
5871;MSV Duisburg II;MSV Duisburg II;52;MSV Duisburg;3;
5872;OSC Vellmar;Vellmar;5125;OSC Vellmar;0;
5873;SG Quelle Fürth;Quelle Furth;545;SG Quelle Fürth;0;
5874;SV Rot Weiß Hasborn-Dautweiler;Rot-Weiß Hasborn;7742;Rot-Weiß Hünsborn;2;
5875;SC Freiburg II;Freiburg II;245;SC Freiburg II;0;
5876;SC Fürstenfeldbruck;Fürstenfeldbruck;1767;SC Fürstenfeldbruck;0;
5877;SC Hauenstein 1919;Hauenstein;8251;SC Hauenstein U19;2;
5878;SC Waldgirmes 1929;Waldgirmes;4356;SC Waldgirmes;3;
5879;ETB Schwarz-Weiß Essen;Schwarz-Weiß Essen;463;Schwarz-Weiß Essen;0;
5880;SG 06 Betzdorf;Betzdorf;1558;SG 06 Betzdorf;0;
5881;SG Bruchköbel;Bruchköbel;5275;SG Bruchköbel;0;
5882;SG Sonnenhof Großaspach;Sonnenhof Großaspach;2589;SG Sonnenhof Großaspach;0;
5883;SGV Freiberg;SGV Freiberg;435;SGV Freiberg;0;
5884;Sportfreunde Lotte;Sportfreunde Lotte;668;Sportfreunde Lotte;0;
5885;Sportfreunde Siegen 1899 II;Sportfreunde Siegen II;63;Sportfreunde Siegen;3;
5886;SpVgg EGC Wirges;Wirges;2276;SpVgg EGC Wirges;0;
5887;SpVgg Erkenschwick;Erkenschwick;1459;SpVgg Erkenschwick;0;
5888;SpVgg Greuther Fürth II;Greuther Fürth II;393;SpVgg Greuther Fürth II;0;
5889;SpVgg Unterhaching II;Unterhaching II;66;SpVgg Unterhaching;3;
5890;SSVg Velbert 1902;Velbert;954;SSVg Velbert 02;2;
5891;SV Stuttgarter Kickers II;Stuttgarter Kickers II;71;Stuttgarter Kickers;3;
5892;SV 1919 Grimma;Grimma;2666;FC Grimma;3;
5893;SV Emsdetten 05;SV Emsdetten 05;915;SV Emsdetten 05;0;
5894;SV Erzhausen;Erzhausen;69762;SV Hörzhausen;2;
5895;SV Falkensee-Finkenkrug;Falkensee-Finkenkrug;2652;SV Falkensee/Finkenkrug;1;
5896;SV Linx 1949;Linx;657;SV Linx;3;
5897;SV Lippstadt 08;Lippstadt 08;767;SV Lippstadt 08;0;
5898;SV Sandhausen;Sandhausen;254;SV Sandhausen;0;
5899;SV Schermbeck 1912;Schermbeck;2508;SV Schermbeck;3;
5900;Torgelower SV Greif;Torgelower SV Greif;4666;Torgelower FC Greif;2;
5901;TSG 1899 Hoffenheim II;Hoffenheim II;983;TSG 1899 Hoffenheim II;0;
5902;TSG Neustrelitz;Neustrelitz;1151;TSG Neustrelitz;0;
5903;TSG Wattenbach;Wattenbach;7634;TSG Wattenbach;0;
5904;TSG Wörsdorf 1887;Wörsdorf;922;TSG Wörsdorf;4;
5905;TSV Aindling;Aindling;688;TSV Aindling;0;
5906;TSV 1846 Crailsheim;Crailsheim;867;TSV Crailsheim;4;
5907;TSV Großbardorf 1923;Großbardorf;9975;TSV Großbardorf U19;3;
5908;TSV Kropp 1946;Kropp;13672;TSV Kropp U19;3;
5909;TSV Völpke;Volpke;5671;TSV Völpke;0;
5910;TuRU 1880 Düsseldorf;TuRU 1880 Düsseldorf;857;TuRU Düsseldorf;5;
5911;TuS Mayen;Mayen;836;TuS Mayen;0;
5912;TuS Mechtersheim 1914;Mechtersheim;2594;TuS Mechtersheim;4;
5913;VfB Auerbach;Auerbach;1400;VfB Auerbach;0;
5914;VfB Fichte Bielefeld;VfB Fichte Bielefeld;1452;VfB Fichte Bielefeld;0;
5915;VfB Homberg;Homberg;4840;VfB Homberg;0;
5916;VfB Hüls;Hüls;136;VfB Hüls;0;
5917;VfB Pößneck;Pößneck;1554;VfB Pößneck;0;
5918;VfB Speldorf;Speldorf;882;VfB Speldorf;0;
5919;VFC Plauen;Plauen;391;VFC Plauen;0;
5920;VfL Frohnlach 1919;Frohnlach;400;VfL Frohnlach;4;
5921;VfL Osnabrück II;Osnabrück II;81;VfL Osnabrück;3;
5922;VfR Mannheim;VfR Mannheim;106;VfR Mannheim;0;
5923;SV Viktoria Aschaffenburg;Viktoria Aschaffenburg;565;SV Viktoria Aschaffenburg;0;
5924;SV Wacker Burghausen Abteilung Fußball II;Wacker Burghausen II;110;SV Wacker Burghausen;6;
5925;SC Westfalia 04 Herne;Westfalia Herne;387;SC Westfalia Herne;3;
5926;VfR Wormatia 08 Worms;Wormatia Worms;158;VfR Wormatia Worms;3;
5927;Wuppertaler Sport-Verein Borussia II;Wuppertaler SV II;302;Wuppertaler SV II;0;
5928;Würzburger FV;Würzburger FV;564;Würzburger FV;0;
5929;Yurdumspor Köln;Yurdumspor;2380;FC Corumspor;6;
5930;ZFC Meuselwitz;Meuselwitz;2643;ZFC Meuselwitz;0;
5931;SV Yesilyurt;SV Yesilyurt Berlin;1296;SV Yesilyurt;0;
6006;SC Regensburg;SC Regensburg;34127;SC Regensburg;0;
6825;Herforder SV Borussia Friedenstal;Herforder SV;1197;Hünfelder SV;4;
6826;SC 07 Bad Neuenahr II;SC 07 Bad Neuenahr II;10307;SpVgg Bayreuth II;11;
6831;FC Oberneuland;Oberneuland;115;FC Oberneuland;0;
6832;VfL 93 Hamburg;VfL Hamburg;491;VfL 93 Hamburg;0;
6833;SV Henstedt-Ulzburg;Henstedt-Ulzburg;2489;SV Henstedt-Ulzburg;0;
6834;SV Ramlingen / Ehlershausen;Ramlingen / Ehlershausen;5349;SV Ramlingen-Ehlershausen;3;
6835;VSK Osterholz-Scharmbeck;Osterholz-Scharmbeck;889;VSK Osterholz-Scharmbeck;0;
6836;FC Schönberg 95;Schönberg;546;FC Schönberg 95;0;
6837;SV Germania 90 Schöneiche;Germania Schöneiche;1235;Germania Schöneiche;0;
6838;Lichterfelder FC Berlin;Lichterfelder FC;1742;Lichtenrader BC;5;
6839;FC Carl Zeiss Jena II;Carl Zeiss Jena II;7081;FC Carl Zeiss Jena II;0;
6840;SV Dessau 05;SV Dessau 05;2939;SV Dessau 05;0;
6841;SSG 09 Bergisch Gladbach;Bergisch Gladbach;2442;SV Bergisch Gladbach 09;6;
6842;SV 1919 Straelen;SV 1919 Straelen;1068;SV Straelen;5;
6843;Hammer Spielvereinigung;Hammer SpVg;1179;Hammer SpVg;0;
6844;Sportfreunde Oestrich-Iserlohn;Sportfreunde Oestrich-Iserlohn;28592;Sportfreunde Gechingen;12;
6845;FSV Braunfels;FSV Braunfels;2550;FSV Braunfels;0;
6846;RSV Würges;Würges;1273;RSV Würges;0;
6847;SV Bernbach;SV Bernbach;489;SV Bernbach;0;
6848;FSV Salmrohr 1921;Salmrohr;40299;FSV Salmrohr U19;3;
6849;TuS Hohenecken;TuS Hohenecken;1330;TuS 1904 Hohenecken;5;
6850;1. FC Pforzheim;FC Pforzheim;22126;FC Holzheim;3;
6851;Bahlinger SC;Bahlinger SC;1193;Bahlinger SC;0;
6852;SV Bonlanden;Bonlanden;1353;SV Bonlanden;0;
6853;1. FC Eintracht Bamberg;Eintracht Bamberg;1694;FC Eintracht Bamberg;3;
6854;SpVgg Bayern Hof;Bayern Hof;248;SpVgg Bayern Hof;0;
6855;SpVgg Weiden;Weiden;1048;SpVgg Vreden;3;
6856;SV Heimstetten;Heimstetten;1238;SV Heimstetten;0;
6919;SV Roßbach / Verscheid;Roßbach / Verscheid;10589;SV Roßbach/Verscheid;2;
6920;TSG Thannhausen;Thannhausen;1710;TSG Thannhausen;0;
6921;1. FC Gera 03;Gera;3262;Germany;3;
7090;Germany Under 20;Germany U20;5709;Germany U20;0;
7291;SV 67 Weinberg;Weinberg;11926;SV 67 Weinberg;0;
7292;SV Dirmingen;Dirmingen;48571;SV Dirmingen;0;
7293;TGM SV Jügesheim;TGM SV Jügesheim;11851;TSV Dagersheim;6;
8565;1. FC Union Berlin;Union Berlin;89;1.FC Union Berlin;1;
8590;FFC Oldesloe;Oldesloe;3408;VfL Oldesloe;3;
8591;MSV Duisburg II;Duisburg II;52;MSV Duisburg;3;
8592;FC Bayern München II;Bayern München II;23112;FC Bayern München U16;3;
8593;ASV Hagsfeld;Hagsfeld;62973;ASV Hagsfeld;0;
8651;SV Seligenporten;Seligenporten;1341;SV Seligenporten;0;
8652;SC Victoria Hamburg;Victoria Hamburg;431;SC Victoria Hamburg;0;
8653;TSV Havelse;Havelse;476;TSV Havelse;0;
8692;Mellendorfer TV 1919;Mellendorfer TV;1009;Meiendorfer SV;3;
8693;FSV 02 Schwerin;FSV 02 Schwerin;2667;Dynamo Schwerin;6;
8695;Energie Cottbus;Energie Cottbus;25;FC Energie Cottbus;3;
8696;Geestemünder SC;Geestemünder SC;25474;Geestemünder SC;0;
8697;Magdeburger FFC;Magdeburger FFC;27201;Hamburger FC;5;
8698;FC Bergedorf 85;Bergedorf 85;883;FC Bergedorf 85;0;
8699;TSV Uengershausen;TSV Uengershausen;9129;TSV Hilgertshausen;4;
8700;Hegauer FV;Hegauer FV;28512;Hegauer FV;0;
8701;SV Eutingen;SV Eutingen;462;TSV Eltingen;2;
8702;SV Johannstadt 90 Dresden;SV Johannstadt 90 Dresden;4036;SV Romonta 90 Stedten;11;
8703;1. FFV Erfurt;FFV Erfurt;293;FSV Frankfurt;5;
8704;TuS Ahrbach;Ahrbach;57010;TuS Ahbach;1;
8705;SC Fortuna Köln;Fortuna Köln;92;SC Fortuna Köln;0;
8706;Rehweiler-Matzenbach;Rehweiler-Matzenbach;5183;FC Matzenbach;10;
8707;VfR 07 Limburg;VfR 07 Limburg;28482;VfR 07 Limburg;0;
8711;FSC Lohfelden 1924;Lohfelden;2808;FSC Lohfelden;4;
8712;SV Wehen Wiesbaden II;Wehen Wiesbaden II;108;SV Wehen Wiesbaden;3;
8714;SG Eintracht 05 Wetzlar;Eintracht Wetzlar;5059;Eintracht Wetzlar;0;
8715;SG Rot Weiss Frankfurt 01;Rot-Weiss Frankfurt;4514;SG Rot-Weiß Frankfurt;5;
8823;TuS Heeslingen;TuS Heeslingen;13526;TuS Cremlingen;3;
8824;VfB Lübeck II;Lübeck II;3322;VfB Lübeck II;0;
8825;SV Lurup 23 Hamburg;Lurup;1240;SV Lurup;3;
8826;Spandauer SV;Spandauer SV;29617;Linauer SV;4;
8827;Greifswalder SV 04;Greifswalder SV;48991;Greifswalder FC;2;
8828;FSV Optik Rathenow;Optik Rathenow;562;FSV Optik Rathenow;0;
8829;1. FC Gera 03;1. FC Gera 03;12013;1.FC Gera 03 II;4;
8830;Blau Weiss Hohen Neuendorf;Hohen Neuendorf;18883;BW Hohen Neuendorf;3;
8831;FF USV Jena II;USV Jena II;28750;SV Linx II;4;
8832;Lichterfelder FC 1892 Berlin;Lichterfelder FC;1742;Lichtenrader BC;5;
8833;Hafen Rostock;Hafen Rostock;7287;SV Hafen Rostock;3;
8834;Adlershofer BC 08 Berlin;Adlershofer BC 08 Berlin;32609;Adlershofer BC 08 II;6;
8835;Hallescher FC;Hallescher FC;440;Hallescher FC;0;
8836;1. FC Lübars;Lübars;2204;1.FC Lübars;1;
8837;BSV Grün Weiß Neukölln;BSV Grün Weiß Neukölln;5569;BSV Grün-Weiß Neukölln;1;
8838;1. FC Saarbrücken II;Saarbrücken II;1404;1.FC Saarbrücken II;1;
8839;SC Siegelbach;SC Siegelbach;34905;SC Siegelbach;0;
8840;TuS Issel;Issel;38975;TuS Issel;0;
8841;TuS 1847 Wörrstadt;Wörrstadt;7530;FC Lustadt;5;
8842;DSG Breitenthal 95;DSG Breitenthal 95;3238;VSG Weitenhagen;8;
8843;1. FFC Montabaur;Montabaur;4307;TuS Montabaur;4;
8844;SG Parr Medelsheim;SG Parr Medelsheim;345;TSG Pfeddersheim;8;
8845;VfR Niederfell;VfR Niederfell;10081;VfL Eiterfeld;5;
8854;TSG Sprockhövel 1881;Sprockhövel;1000;TSG Sprockhövel;4;
8855;DJK Germania Gladbeck;DJK Germania Gladbeck;41725;DJK Alemannia Gladbeck;4;
8856;SC Wiedenbrück 2000;Wiedenbrück;4955;SC Wiedenbrück;3;
8857;VfB Sangerhausen;VfB Sangerhausen;41171;VfB Sattenhausen;3;
8858;SSV Markranstädt;Markranstädt;4017;SSV Markranstädt;0;
8859;FC Germania Dattenfeld 1910;Germania Dattenfeld;47857;Germania Geistenbeck;7;
8860;Düsseldorfer TuS Fortuna 1895 II;Fortuna Düsseldorf II;4690;Fortuna Düsseldorf II;0;
8861;SC Idar-Oberstein;Idar-Oberstein;1248;SC Idar-Oberstein;0;
8862;Sportfreunde Köllerbach;Köllerbach;2505;SF Köllerbach;3;
8863;VfL Kirchheim unter Teck;Kirchheim;32884;TG Kirchheim;3;
8864;FC Astoria Walldorf;Astoria Walldorf;1348;FC-Astoria Walldorf;1;
8865;TSV Schwieberdingen 1906;TSV Schwieberdingen 1906;5168;TSV Schwieberdingen;5;
9007;SV Ahlerstedt Ottendorf;Ahlerstedt Ottendorf;8483;SV Ahlerstedt/Ottendorf;1;
9008;FSG Twist;FSG Twist;7696;FSG Bous;4;
9009;TSG Burg Gretesch;Burg Gretesch;28752;TSG Burg Gretesch;0;
9010;TUS Büppel;TUS Büppel;52175;TuS Büppel;1;
9011;TSV Nahe;TSV Nahe;2538;TSV Sasel;3;
9012;VfL Oythe;Oythe;5298;VfL Oythe;0;
9013;TV Jahn Delmenhorst;Jahn Delmenhorst;7629;TV Jahn Delmenhorst;0;
9014;SV Lurup Hamburg;SV Lurup Hamburg;6152;SC Europa Hamburg;4;
9015;SV Holtinghausen;SV Holtinghausen;33722;SV Höltinghausen;1;
9358;DJK Fortuna Dilkrath;Fortuna Dilkrath;42634;DJK Fortuna Dilkrath;0;
9359;FC Teutonia Weiden;FC Teutonia Weiden;46102;FC Teutonia Weiden;0;
9360;Sportfreunde Siegen 1899;Sportfreunde Siegen;63;Sportfreunde Siegen;0;
9361;SV Rot Weiß Merl;SV Rot Weiß Merl;41601;Rot-Weiß Merl;4;
9362;SG Essen-Schönebeck II;Essen-Schönebeck II;10210;SG Essen-Schönebeck;3;
9363;FSV Gütersloh 2009 II;Gütersloh II;8352;FC Gütersloh II;3;
9364;GSV 1910 Moers;Moers;7572;GSV Moers;4;
9365;DJK Eintracht Coesfeld;Eintracht Coesfeld;19642;DJK Eintracht Coesfeld;0;
9366;DJK Arminia Ibbenbüren;Arminia Ibbenbüren;42021;DJK Arminia Ibbenbüren;0;
9374;Germany Under 17;Germany U17;17662;Germany U17;0;
9400;Germania Wiesbaden;Germania Wiesbaden;21310;Germania Wiesbaden;0;
9401;TSV Schwaben Augsburg;Schwaben Augsburg;1615;Schwaben Augsburg;0;
9402;FV Löchgau;Löchgau;7329;FV Löchgau;0;
10758;SV Tasmania Berlin;Tasmania Berlin;5608;SV Tasmania Berlin;0;
10760;SV Blau-Weiß 90 Berlin;SV Blau-Weiß 90 Berlin;2149;Blau-Weiß 90 Berlin;3;
10788;VfL Oldenburg 1894;VfL Oldenburg;6128;VfL Oldenburg;0;
10789;MTV Gifhorn 1861;Gifhorn;18398;SV Gifhorn;3;
11060;FC Würzburger Kickers;Würzburger Kickers;1557;Würzburger Kickers;0;
11061;FC Ingolstadt 04 II;Ingolstadt II;7681;FC Ingolstadt 04 II;0;
11062;TSV Buchbach;Buchbach;7679;TSV Buchbach;0;
11063;FSV Erlangen-Bruck;Erlangen-Bruck;1381;FSV Erlangen-Bruck;0;
11064;TSV 1896 Rain am Lech;Rain / Lech;4948;TSV Rain/Lech;6;
11065;FSV Bentwisch;Bentwisch;5048;FSV Bentwisch;0;
11066;Brandenburger SC Süd 05;BSC Süd 05;8108;Brandenburger SC Süd II;2;
11067;Reinickendorfer Füchse;Reinickendorfer Füchse;217;Reinickendorfer Füchse;0;
11068;1. FC Magdeburg II;Magdeburg II;6649;1.FC Magdeburg II;1;
11069;FC Grün-Weiß Wolfen;Grün-Weiß Wolfen;10100;Grün-Weiß Golm;4;
11070;FC Erzgebirge Aue II;Erzgebirge Aue II;94;FC Erzgebirge Aue;3;
11071;1. FC Lokomotive Leipzig;Lokomotive Leipzig;497;1.FC Lokomotive Leipzig;1;
11072;Blumenthaler SV;Blumenthaler SV;9029;Blumenthaler SV;0;
11073;Bremer SV;Bremer SV;1328;Bremer SV;0;
11074;Habenhauser FV;Habenhauser FV;8327;Habenhauser FV;0;
11075;Olympischer SC Bremerhaven;OSC Bremerhaven;9471;OSC Bremerhaven;0;
11076;TSV Osterholz-Tenever;Osterholz-Tenever;18326;TSV Osterholz-Tenever;0;
11077;SC Vahr-Blockdiek;Vahr-Blockdiek;10179;SC Vahr-Blockdiek;0;
11078;SG Aumund-Vegesack;Aumund-Vegesack;16346;SG Aumund-Vegesack;0;
11079;TSV Blau-Weiß Melchiorshausen;Melchiorshausen;11113;TSV Melchiorshausen;4;
11080;TSV Wulsdorf;Wulsdorf;11463;TSV Wulsdorf;0;
11081;SV Türkspor Bremen;Türkspor Bremen;18327;SV Türkspor Bremen-Nord;5;
11082;TuS Schwachhausen;Schwachhausen;18328;TuS Schwachhausen;0;
11083;KSV Vatan Sport Bremen;Vatan Sport;9469;KSV Vatan Sport;4;
11084;VfL 07 Bremen;VfL Bremen;18329;VfL 07 Bremen;0;
11085;SV Werder Bremen III;Werder Bremen III;8997;SV Werder Bremen III;0;
11204;SC Vorwärts-Wacker 1904;Vorwärts-Wacker 04;10395;Vorwärts Ahlen;9;
11205;FC Voran 1949 Ohe;Voran Ohe;6247;FC Voran Ohe;3;
11206;SC Concordia 1907 Hamburg;Concordia Hamburg;1054;Concordia Hamburg;0;
11207;FC Eintracht Norderstedt;Eintracht Norderstedt;117;Eintracht Norderstedt;0;
11208;SC Condor 1956 Hamburg;Condor Hamburg;1054;Concordia Hamburg;4;
11209;SV Curslack-Neuengamme;Curslack-Neuengamme;7538;SV Curslack-Neuengamme;0;
11210;SV Halstenbek-Rellingen;Halstenbek-Rellingen;4610;SV Halstenbek-Rellingen;0;
11211;Uhlenhorster SC Paloma;Paloma;30053;SG Hoya;5;
11212;HSV Barmbek Uhlenhorst;Barmbek-Uhlenhorst;1481;HSV Barmbek-Uhlenhorst;1;
11213;SC Egenbüttel;Egenbüttel;7246;SC Egenbüttel;0;
11214;TSV Buchholz 08;TSV Buchholz;2636;TSV Buchholz 08;0;
11215;Niendorfer TSV;Niendorfer TSV;3417;Niendorfer TSV;0;
11216;SV 07 Elversberg II;Elversberg II;5406;SV 07 Elversberg II;0;
11217;SV Alemannia Waldalgesheim;Alemannia Waldalgesheim;5446;SV Alemannia Waldalgesheim;0;
11218;SV Niederauerbach;SV Niederauerbach;62295;SV Niederseelbach;3;
11219;SV 1920 Mettlach;Mettlach;4101;SV Mettlach;3;
11220;SG Bad Breisig;Bad Breisig;10251;SV Breinig;4;
11221;TuS Celle FC;Celle;243;TuS Celle FC;0;
11222;TuS Güldenstern Stade;Güldenstern Stade;54761;VfL Güldenstern Stade;3;
11223;VfL Maschen 1911;Maschen;7902;VfL Maschen;4;
11224;Goslarer SC 08;Goslarer SC;8891;Goslarer SC;0;
11225;SV Blau Weiß Bornreihe;Blau Weiß Bornreihe;11525;SV Blau-Weiß Bornreihe;1;
11226;SC Weende Göttingen;Weende;34011;RW Heede;4;
11227;FC Eintracht Northeim;Eintracht Northeim;6253;FC Eintracht Northeim;0;
11228;Rotenburger SV;Rotenburger SV;917;Rotenburger SV;0;
11229;TSV Ottersberg;Ottersberg;13838;TSV Ottersberg;0;
11230;SV Drochtersen / Assel;Drochtersen / Assel;10213;SV Drochtersen/Assel;2;
11231;Freie Turner Braunschweig;FT Braunschweig;5460;FT Braunschweig;0;
11232;SSV Vorsfelde;Vorsfelde;2541;SSV Vorsfelde;0;
11233;BSV Ölper 2000;Ölper;3860;BSV Ölper 2000;0;
11234;Lüneburger SK Hansa;LSK Hansa;18324;Lüneburger SK Hansa;0;
11235;BSV Schwarz-Weiß Rehden;Schwarz-Weiß Rehden;5560;BSV Schwarz-Weiß Rehden;0;
11236;SV Bavenstedt 1946;Bavenstedt;6964;SV Bavenstedt;3;
11237;TuS Pewsum;Pewsum;4719;TuS Pewsum;0;
11238;SV Wilhelmshaven II;Wilhelmshaven II;7640;SV Wilhelmshaven II;0;
11239;VfV Borussia 06 Hildesheim;Borussia Hildesheim;2540;VfV Borussia 06 Hildesheim;0;
11240;SC Langenhagen;Langenhagen;900;SC Langenhagen;0;
11241;Heesseler SV;Heesseler SV;5114;Heeßeler SV;2;
11242;TuS Lingen 1910;Lingen;33585;VfB Lingen;4;
11243;SpVgg Preußen Hameln 07;Preußen Hameln;26479;Preußen Lünen;4;
11244;SV Bad Rothenfelde;Bad Rothenfelde;7541;SV Bad Rothenfelde;0;
11245;VfL Germania Leer;Germania Leer;5118;Germania Leer;0;
11246;1. Schleswiger SV 06;Schleswig 06;18383;Schleswig 06;0;
11247;FC Kilia Kiel 1902;Kilia Kiel;5558;FC Kilia Kiel;3;
11248;Flensburger SpVgg 08;Flensburg 08;37445;TSB Flensburg II;6;
11249;SC Comet Kiel;Comet Kiel;40579;SVE Comet Kiel;2;
11250;Heikendorfer SV;Heikendorfer SV;18331;Heikendorfer SV;0;
11251;TSV Altenholz;Altenholz;1298;TSV Altenholz;0;
11252;Husumer SV;Husumer SV;2537;Husumer SV;0;
11253;FC Itzehoe;Itzehoe;8176;FC Kutzhof;4;
11254;Niendorf-Timmendorfer SV Strand 08;NTSV Strand;4714;NTSV Strand 08;3;
11255;VfR Horst 1946;Horst;3419;VfR Horst;4;
11256;Heider SV;Heider SV;1297;Heider SV;0;
11257;Eckernförder SV 1923;Eckernförder SV;18330;Eckernförder SV;0;
11258;Rot-Weiss Essen II;Rot-Weiss Essen II;56;Rot-Weiss Essen;3;
11259;Hünfelder SV;Hünfelder SV;1197;Hünfelder SV;0;
11260;Offenbacher FC Kickers 1901 II;Kickers Offenbach II;107;Kickers Offenbach;3;
11261;KSV Hessen Kassel II;Hessen Kassel II;8048;KSV Hessen Kassel II;0;
11262;FC Viktoria 09 Urberach;Viktoria Urberach;5441;FC Viktoria 09 Urberach;0;
11263;TSV Eintracht Stadtallendorf;Eintracht Stadtallendorf;6273;Eintracht Stadtallendorf;0;
11264;TSG Balingen;Balingen;834;TSG Balingen;0;
11265;SpVgg Au / Iller 1928;Au / Iller;31345;TSV Eller;5;
11266;Offenburger Fussball Verein 1907;Offenburger FV;5280;Offenburger FV;0;
11267;Kehler FV 07;Kehler FV;8291;Kehler FV 07;0;
11268;FV Illertissen 1921;Illertissen;1468;FV Illertissen;3;
11285;BV Borussia Bocholt 1960;Borussia Bocholt;19594;Borussia Bocholt;0;
11286;SV Werder Bremen;Werder Bremen;86;SV Werder Bremen;0;
11287;SV Rot Weiß Flatow;SV Rot Weiß Flatow;52815;SV Rot-Weiß Gülitz;6;
11288;SV Rot-Weiß Göcklingen;Rot-Weiß Göcklingen;28224;ESV Rot-Weiß Göttingen;4;
11289;1. FFC 08 Niederkirchen;Niederkirchen;2708;FC Oberkirchen;5;
11290;SV Bardenbach;Bardenbach;63501;SV Bardenbach;0;
11291;SV Eintracht Seekirch;SV Eintracht Seekirch;5430;SV Eintracht Sermuth;5;
11292;TSG 1899 Hoffenheim;Hoffenheim;533;TSG 1899 Hoffenheim;0;
11590;FC 08 Elm;FC 08 Elm;31159;FC Elm;3;
11591;FC Bitburg 1919;Bitburg;67437;FC Bitburg U19;2;
11592;BV Cloppenburg;Cloppenburg;571;BV Cloppenburg;0;
11593;SG Jesteburg Bendestorf;SG Jesteburg Bendestorf;25351;SV Bendestorf;11;
11594;TSV Havelse;Havelse;476;TSV Havelse;0;
11595;Leipziger FC;Leipziger FC;745;Freiburger FC;5;
11596;TuS Harpen;TuS Harpen;56399;TuS Harpen;0;
11597;VfL Kommern;Kommern;65960;VfL Kommern;0;
11598;TSV Pfersee Augsburg;TSV Pfersee Augsburg;1615;Schwaben Augsburg;9;
11599;RSV Roßdorf;Roßdorf;19674;SC Rosdorf;3;
13053;FC Maxhütte-Haidhof;FC Maxhütte-Haidhof;5183;FC Matzenbach;10;
13071;FC Anker Wismar;Anker Wismar;3676;FC Anker Wismar;0;
13349;SpVgg Neckarelz;Neckarelz;8983;SpVgg Neckarelz;0;
13396;FSV Frankfurt II;FSV Frankfurt II;293;FSV Frankfurt;3;
13397;VfB Marburg;Marburg;1915;VfB Marburg;0;
13398;SVA Bad Hersfeld;Bad Hersfeld;11715;SV Herschfeld;5;
13399;TSG Weinheim;Weinheim;8093;TSG Steinheim;2;
13400;FC Denzlingen;Denzlingen;4974;FC Denzlingen;0;
13401;SV Spielberg;Spielberg;1964;SV Spielberg;0;
13403;SV Auersmacher;Auersmacher;6482;SV Auersmacher;0;
13404;SVN 1929 Zweibrücken;Zweibrücken;10151;TSC Zweibrücken;4;
13405;Sportfreunde Eisbachtal;Eisbachtal;1206;Sportfreunde Eisbachtal;0;
13406;Lichtenrader BC 25;Lichtenrader BC;1742;Lichtenrader BC;0;
